Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-23,2023,3,23,,"2,6",,"-0,7",,"1,0",,"17,0",,"0,0",,"9,8",,"0,0",T,"9,8",,1.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-24,2023,3,24,,"4,8",,"-2,7",,"1,1",,"16,9",,"0,0",,"0,0",,"0,0",,"0,0",,,,33.0,,46.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-25,2023,3,25,,"3,2",,"-3,6",,"-0,2",,"18,2",,"0,0",,"1,8",,"6,0",,"7,8",,3.0,E,11.0,,49.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-26,2023,3,26,,"4,8",,"1,9",,"3,4",,"14,6",,"0,0",,"0,6",,"0,0",,"0,6",,3.0,,24.0,,62.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-27,2023,3,27,,"7,2",,"-2,1",,"2,6",,"15,4",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-28,2023,3,28,,"4,0",,"-3,1",,"0,5",,"17,5",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,3.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-29,2023,3,29,,"10,0",,"-4,6",,"2,7",,"15,3",,"0,0",,"0,0",,"0,6",,"0,6",,1.0,E,21.0,,71.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-30,2023,3,30,,"0,4",,"-7,8",,"-3,7",,"21,7",,"0,0",,"0,0",,"0,0",T,"0,0",T,1.0,,28.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-31,2023,3,31,,"3,8",,"-4,3",,"-0,3",,"18,3",,"0,0",,"0,0",,"1,2",,"2,2",,1.0,E,12.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-01,2023,4,1,,"11,7",,"0,9",,"6,3",,"11,7",,"0,0",,"5,2",,"0,0",,"5,2",,0.0,T,27.0,,46.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-02,2023,4,2,,"1,5",,"-7,3",,"-2,9",,"20,9",,"0,0",,"0,0",,"0,0",,"0,0",,,,33.0,,48.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-03,2023,4,3,,"8,0",,"-2,6",,"2,7",,"15,3",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,14.0,,49.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-04,2023,4,4,,"10,8",,"-1,4",,"4,7",,"13,3",,"0,0",,"0,0",,"0,0",,"0,0",,,,4.0,,49.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-05,2023,4,5,,"0,2",,"-2,7",,"-1,3",,"19,3",,"0,0",,,M,,M,"39,4",,0.0,T,5.0,,63.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-06,2023,4,6,,"9,8",,"-0,5",,"4,7",,"13,3",,"0,0",,"0,0",T,"0,0",,"0,0",T,0.0,T,23.0,,49.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-07,2023,4,7,,"3,8",,"-2,5",,"0,7",,"17,3",,"0,0",,"0,0",,"0,0",,"0,0",,,,26.0,,69.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-08,2023,4,8,,"5,6",,"-4,1",,"0,8",,"17,2",,"0,0",,"0,0",,"0,0",,"0,0",,,,26.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-09,2023,4,9,,"10,2",,"-3,0",,"3,6",,"14,4",,"0,0",,"0,0",,"0,0",,"0,0",,,,27.0,,43.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-10,2023,4,10,,"18,1",,"0,8",,"9,5",,"8,5",,"0,0",,"0,0",,"0,0",,"0,0",,,,24.0,,50.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-11,2023,4,11,,"17,8",,"9,4",,"13,6",,"4,4",,"0,0",,"0,0",,"0,0",,"0,0",,,,23.0,,69.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-12,2023,4,12,,"16,3",,"8,0",,"12,2",,"5,8",,"0,0",,"0,0",,"0,0",,"0,0",,,,27.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-13,2023,4,13,,"27,9",,"5,7",,"16,8",,"1,2",,"0,0",,"0,0",,"0,0",,"0,0",,,,24.0,,45.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-14,2023,4,14,,"20,3",,"8,9",,"14,6",,"3,4",,"0,0",,"0,0",,"0,0",,"0,0",,,,5.0,,38.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-15,2023,4,15,,"24,3",,"6,6",,"15,5",,"2,5",,"0,0",,"0,0",,"0,0",,"0,0",,,,4.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-16,2023,4,16,,"24,4",,"6,1",,"15,3",,"2,7",,"0,0",,"0,0",,"0,0",,"0,0",,,,6.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-17,2023,4,17,,"11,6",,"6,1",,"8,9",,"9,1",,"0,0",,"12,8",,"0,0",,"12,8",,,,24.0,,50.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-18,2023,4,18,,"10,4",,"3,0",,"6,7",,"11,3",,"0,0",,"0,0",T,"0,0",,"0,0",T,,,22.0,,56.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-19,2023,4,19,,"6,7",,"2,1",,"4,4",,"13,6",,"0,0",,"0,0",T,"0,0",,"0,0",T,,,26.0,,46.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-20,2023,4,20,,"9,5",,"0,0",,"4,8",,"13,2",,"0,0",,"0,0",,"0,0",,"0,0",,,,4.0,,40.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-21,2023,4,21,,"15,4",,"2,4",,"8,9",,"9,1",,"0,0",,"0,6",,"0,0",,"0,6",,,,3.0,,45.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-22,2023,4,22,,"19,6",,"6,6",,"13,1",,"4,9",,"0,0",,"0,4",,"0,0",,"0,4",,,,13.0,,65.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-23,2023,4,23,,"11,7",,"6,6",,"9,2",,"8,8",,"0,0",,"16,8",,"0,0",,"16,8",,,,14.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-24,2023,4,24,,"8,8",,"4,1",,"6,5",,"11,5",,"0,0",,"3,2",,"0,0",,"3,2",,,,26.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-25,2023,4,25,,"11,1",,"3,2",,"7,2",,"10,8",,"0,0",,"3,2",,"0,0",,"3,2",,,,23.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-26,2023,4,26,,"10,1",,"2,5",,"6,3",,"11,7",,"0,0",,"2,0",,"0,0",,"2,0",,,,29.0,,33.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-27,2023,4,27,,"13,6",,"0,2",,"6,9",,"11,1",,"0,0",,"0,0",,"0,0",,"0,0",,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-28,2023,4,28,,"19,2",,"3,0",,"11,1",,"6,9",,"0,0",,"0,0",,"0,0",,"0,0",,,,10.0,,33.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-29,2023,4,29,,"15,4",,"7,7",,"11,6",,"6,4",,"0,0",,"6,6",,"0,0",,"6,6",,,,16.0,,50.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-04-30,2023,4,30,,"15,6",,"7,2",,"11,4",,"6,6",,"0,0",,"11,2",,"0,0",,"11,2",,,,6.0,,56.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-05-01,2023,5,1,,"12,2",,"6,5",,"9,4",,"8,6",,"0,0",,"14,8",,"0,0",,"14,8",,,,23.0,,61.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-05-02,2023,5,2,,"13,7",,"6,0",,"9,9",,"8,1",,"0,0",,"6,4",,"0,0",,"6,4",,,,14.0,,56.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-05-03,2023,5,3,,"9,8",,"6,0",,"7,9",,"10,1",,"0,0",,"5,0",,"0,0",,"5,0",,,,4.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-05-04,2023,5,4,,"12,3",,"5,5",,"8,9",,"9,1",,"0,0",,"0,0",T,"0,0",,"0,0",T,,,4.0,,44.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-05-05,2023,5,5,,"17,6",,"5,6",,"11,6",,"6,4",,"0,0",,"0,0",,"0,0",,"0,0",,,,3.0,,41.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-05-06,2023,5,6,,"23,3",,"7,2",,"15,3",,"2,7",,"0,0",,"0,0",,"0,0",,"0,0",,,,24.0,,45.0,
